name,Employer,location,link
Insurance Defence Legal Assistant(Tort),Dutton Brock LLP,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxfeaqfXSJ7kNi5y6fGzYRHkM0ia6J-KSukTZNxyo0QjxXdxi2DYGR6FICB-u_TOgx87AIT0mP0LNIAb0iekCBtNqR4omHolw3EJb0UVCElP_ujlImrM7YPF0zIrVqqXa-LrO_GPXQr0eICroPm3OBCvZpA_NIM8aTW8-jtgoF5bCUxM9xu8JfMN5hqna-rWCmSFz-TMx-ZA0C1O1SyaZsvKAkby2ZnPi00Kc2MI4ypMB-Y5UXy-t_DiwqZCi-8O0_9p5xAarH_GGqp3ZNegLSEQaeqg7o5PvVR0CXExrJq8sN3vCVO1Uv_oLBZtTSz59h4ew9oHCY7mHb4awPQFjUwNjmQjgSEyKnydzbEROY4TV71s3ismFi_ofde7GuOa1-nSWAkkG8utJUrWT0nNHr_gnOAaYd9yfa41RrE9T5qpzxW2t3Vb4qYAAGZm3e5FXsvUxjkWuF2xQOfW3PKJMTD5AcWAmgZBGUkkYQY5EfVTTXKnqzOLvP&p=3&fvj=1&vjs=3
Experienced Legal Assistant/Clerk,ME Law Professional,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLDdZPUgfIwieNRoE2REb40zRZ1N_0tU6DONyCicUw0VCUhtRoCHIy_3bIWUL2pRxrgiVc_bwlElBK5Iv0XoAqkSFEkv-RG4JbUJSHjp032pXHC2O9KVD1gVk1hJ-535NBMColWshghmDAOIMIvOLHfC9tDMeZbrP2Xgi9wc8ohCrKGQQGG6KeOjHBXI5EyP-twWs1KDJFJ62x5aqlrwvpW4D6AS1BGuzY5UDxpnqfntxkEQuTs19ob-cS1TYmGagEbOEM_SdMj8x1OQ2Ozois86SDeU1xstscL6qcWzxa48BwQ0Tq6rif6EwEZSqLHVyCbAMrsL8skfQm2DrZ8t1AiO3GaQ8v9wWg4pbMdF7ILe3mYVGqV28Cf1QfltMRFUBfmpY5H3Ns8SAUoxRa6894cP0SLgimYJBPqjevf0l3WjY9p25quNxE7WbhFdYZad-Lihxiy-WFS0ugMGjZrfJcRkTEVHYB-ku4vitJ7u66wJWthmjqEo2mlqvym8qwFsU=&p=4&fvj=1&vjs=3
U.S. Immigration Law Clerk,PwC,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_64SjWXzvhyT_sc3umByGDrtGnb4Js3AdZI26N_nH7UU2HC3uUH1QfBjIYP0hDQog9usT5HTwun5cEh6dRN-HXy_imWWJNpW8dOexXLg-_ahAEfPgtErqyEu7dknm6jdc64rpA8WKbieCPJy5Q0vOWLRwb9fYRJuvVUee-57phCe3L09JdXiBNP5VXtYtqwSCgoVIc8KEaFwfNODpAWK2q8QQEqlLHuQkCoDGMg3acMcv1Sa-OInnnPz2Kbinr-J-3JLtJUU9T8Xs1gZPlrj4ZC0ZKEjz41wIThiGoedLdd-VmqAp583QH80nX2ngBZkydzfLrlxO6kJZYCnrP9A0pdwI3iR82S3nIeeI605-ws3k5ldltY5cqZNVA6TG25yxk_GSrlpphLxtEpbSP_hj0T-9GaY9WH_zEL7s6GM97acNVuyyK80EF3D9skUy7l7Iky_dYUNMFEWd3_mjheEOOiMzoNl89jWPxTKHT47K_ShlYCAHZ23jpd3qpEgv_yo6hLZT2Q1mUO1-1z7YKB0cHIEKgoHY6AdeP1ZUQz8TnGkFCriB5EMVewVX3CF236vsorBCXRhzGcc4H0G2is9ajf24tMhZaYRTMfX0kgAPUsIYhylE-2WgrgbiE8-Oe8Q8SvmuakJq3uf&p=5&fvj=0&vjs=3
Legal Accounts Payable Clerk,Accountivity,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dgb76zrUgBBoUac4OqrBxcp3AF41zq8tIbFMi67wY-ws-iFi9SVjOW6SgrhPr2utQeEBfpShHKvQmYzcFbcN1HECm3khBGZzUq6kao8yeOOhaAEsYHzi6F5XIubidPF1zwak07LkO3CdQ9litp3XSFxVUzZ85xel9-zTsqPAVvIo7jHVEPhqlIQKxAvpyyhtXp_n3pTdRu4FyRkehn09yfYfgF78_tPLspnlVS9HfHSm9ty_M-lzUwQP9kShPDjXPen_OPR-miWakG_4WfIVMIKToPnz7zYfTYxV0djeNy2JKEpN2g87JTAaviDBo70ni-B6RvC1EId5EMMAYtBccrKSj4dMwjaXChGCEdTSfLY4GJuH_W3hX9F_akUqS36SGWrOctDHQHIZakAJXZZA3BgC3iQhbx22qF77J_gkF7qbHvGT8b3hzXhsnKRAnSwUrqki2nIB_AT8K8GznieZpZuzMJGFaD2ivyaseZztTKK_tdsUJ0rKuVKLaMhkT08oK89T96_IWPl5wYVQD38lJ9ctGeyKaUotJMdXfJYbAdsrOEtoxPzbmNt6tNf_PyqfPvu42H2j26v2n5J4A8puqYoljN5T2CJnKbolwm43p7IUMNQgwD-jhstl8id7rZ2kOdMvA_wFj5tTbZrB1wmBYJILF4ALc7BnwEiw99tSpxxJDrKIpgKuvnE3qVvJ5nnbJxGiEnGZ-9cy_N6jQxApDK-b2TS70jicQmOX-4XbOaOk0EhSgKVm8AiiIq23dNoEPOBFrpHO9_Yh3tetXC5PGQ0HK0nFty5QwgCOAkh3Ai6_goOK5JZ18ECmxRIJyi6BPi0XIFVlqPJe_h4XbWm21nBlHCWCTiBoNLIOcpeIZIcb-3mxsJMq_tH66jmUalrgtT85fvODCcmT_9YF3F7bcbAfV5pCEPlz04WU2RHec2mbqlbL2KoyCyRKt4Lyp-BLuRZy6Hydlcx_CnflCo287VHTc0mkktI_E=&p=6&fvj=0&vjs=3
Paralegal/Legal Assistant,ZSA Legal Recruitment,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLMeDpCNWBWPafb21nNcqqZ7D8kU6mmU5LMvxbtl4HkXGzh6cZmWcz14EgrNrjqsrcL9Hg00AZ4hi8wZVqw3aywR6fq0oT3Am3lZk9ioxNMiHupbVHm8lCKXaG1K5lMZRq0MTAcnUlv673aucs7NDYy3Xi4mnfboP08AbSHMU5i8NhFcmc-8TiNzS7tDpBAfmhImTgwSntc5id5JfEldF8FgN1X6tYnTTvqXZzv4zk5j_Ep9F1sDJV8M-f6lcUxuQAVq8ADyCUEdgGg21eQP7XjUy-ZgOAcqQZpK8HHxTcY2RX-qty4WwpHIpq_oEvUDmbgRqMpNfnHfLu09BFn3R_mP0zmm3B5z0zjC36JgGY9im5G2HA43UqF7LoElNMCEWImSFrbulEtXfST6IHsOpjJxRsX5Hw7lLO6BJUr6-YbBa3tH3jFXFP_YTbCukzXGUsaXAzyhHTrQAvz2C0Bltjz49nsW5qBz0kl_saOGYN4yaUUbsttoLE&p=7&fvj=1&vjs=3
corporate law legal assistant,The Hiring Partner Inc,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=eb877e9110dc50e7&fccid=32e25dd05419efe3&vjs=3
Condo Legal Assistant / Clerk (North End) - #15517,Kent Legal,"North York, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu46ktMDckHuhuDE6_W6E2EjNsP4pdXVYTEBnToqYBP4S2wYrSPjNi38-EUw9EjjR8KrTfapGXkDUVwHHlX_5jc8Bp0NXeOBpKPjZyBUvPsy-Cx9nc45yjp7M9EnZLZ6c12AQAeJuSak-AzeIr9ULGWLBQYkSqrebxCkbvrTtcZ_i14kKWAg6swcu_9vYQKvVLIND3ApfrBKdKbeKhHeuYMC0pdhxzF_16xlr13fAbZX1Y-5k1UymVXhv0oGCHW-ZwAxbJDqx9HRWtdZIubAYcY5NlrsVLBjegrecmUM5V-wsxKboJyKhrseKvPj_8enFTvyUrgxuZ3EPr6GHFx5Iv3Z_OBXB8tQcPt97YcoZONJFvw8KI0hOMcIyzG1BtcNm1gEs8stYfvCed4xJvtG2DWmjtJMqW3kwaqN88AujmD58ts5TWP65sLoC-_72r_tK3Pf6MPNO_PKBb_q9y5o6Snkm&p=9&fvj=1&vjs=3
family law legal assistant,The Hiring Partner Inc,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4a4e6072614cf5be&fccid=32e25dd05419efe3&vjs=3
Billing Administration Clerk (Legal),Miller Thomson LLP,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4aec80719fc4d45f&fccid=9d669399a0b61e9d&vjs=3
Immigration Legal Assistant,"Chalk, Son & Associates Limited","Toronto, ON","https://ca.indeed.com/company/Chalk,-Son-&-Associates-Limited/jobs/Immigration-Legal-Assistant-6ae38ab43c301c9d?fccid=1ccff59ab5bd7255&vjs=3"
Trademark Legal Assistant/ Law Clerk (Downtown) - #15546,Kent Legal,"Toronto, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu440wsNh_4jD4ccybGYa50xijBzHzBjf64hcTskiBxdvJC4Hbh4q5VkhqK2B-wRtbWw_AS0q4Izj3hMJnPwiVA5wpzAGAtLlwbscwgId-W-2ET7P29uakfuXmfnZzL7U7kAN8pmYN9Sm2tdBGKHbjpMA2kcaYTePScwOvmaOLXr2aEuPZ1sE3sI8HYjLtCzJir2tDFT6Av_wjs-yT4nzclt8nXIzRRfrFIvOEhza45hmRicRZiBefvaBiVTIHgfKaFjakX8P1ujc-ed7K1kll92NyX0ycD0gdvR3WCsUq7vJvUIsYntyf_Woyz06y3s9nffzRgrfDwoFNDKboGsMF-HzOXGcdDrn0cC7LGdDTkrUtdydI5mZvVxmkCTV6wiDmKTxP4VJo2_b_Qqi3UyW-Hv2NYtPsQCTeIin4EWjFUKiXwlkCBKpzIxsDHBgPO1nPB5708n09M75Q8cIepBFJkiU&p=13&fvj=1&vjs=3
Litigation Legal Assistant/Clerk (Mississauga) - #15421,Kent Legal,"Mississauga, ON",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7s55E2tmVoU-e5n5VHJSHWmLKbqBNslxA1tJHdtDJvfVx5KZ4rpIIcwD0svYNu44aSwDjOR8NoAkW-beNmmf77rIndnOUKRAjSBY1VUwrEZ8BQBY2YGEBU8FSSL9XhIluYrS4e3qe0f7v99UCZj68i08Iy52YKLXjbMuxE1aRHYBJnFgSLoJS3OP2_-0W8e-ibMXN5v9KX-Nv01IxAwMHuuSXO-5SCtCzqE7Fb9OCrWXmU9l7EghLUShpYnICkyJ7PLvPrmnP64aE_s0HjroDPCWXwkJrC_ebI7W2-dCd2hfu9RqJUN0HDU2ZXDLv9iZjBiKC2-wQtBodmuoEs3ocVvLUzmkOmW88X28Fr_sa9h1cST0kiNbmwwqLCqWaDiKHe0nJTYiT8-p7DI_9UlE4i8m3uiBTis5x2Z5FdOb4vi9eGHscGeBfo6jkMKPXIZltW6awby19TvurS8YX_Ht1iMg-NKnHxIOdlwjzC_z-S4G6dp3EynqM2JunBsDilmFZ36p283lhgSqcrez0v_I1&p=14&fvj=1&vjs=3
